Tid,起点,駅からの距離,店舗名,ジャンル,住所,座数,lunch_from,lunch_to,dinner_from,dinner_to,dinner_ave,元値,集計用,営業(年),営業(月),url,業態_集計用,食べログ業種_大,食べログ業種_中,食べログ業種_小,評価
28000362,西宮北口駅,187,かつ源,串揚げ・串かつ、日本酒バー、居酒屋,兵庫県西宮市甲風園1-7-13 １０１,28,-,-,4000,4999,"4,500",,,,,https://tabelog.com/hyogo/A2803/A280301/28000362/,居酒屋・バル,串揚げ・串かつ,日本酒バー,居酒屋,3.15
28041075,西宮北口駅,355,牛たんと和牛焼 青葉苑 西宮ガーデンズ店,牛タン、焼肉、和食（その他）,兵庫県西宮市高松町14-2 阪急西宮ガーデンズ南モール 4,35,"1,000",1999,2000,2999,"2,500",2014年7月18日,2014年7月18日,8,4,https://tabelog.com/hyogo/A2803/A280301/28041075/,和食,牛タン,焼肉,和食（その他）,3.42
28058904,西宮北口駅,165,兵庫縁乃助商店,ラーメン,兵庫県西宮市甲風園1-6-6 エクセル北口,0,-,999,-,999,999,2020年11月12日,2020年11月12日,2,0,https://tabelog.com/hyogo/A2803/A280301/28058904/,ラーメン,ラーメン,,,3.45
28006709,西宮北口駅,52,ビアードパパ 阪急西宮北口店,スイーツ（その他）、洋菓子（その他）,兵庫県西宮市高松町6-20 阪急西宮北口駅構内,1,-,999,-,999,999,,,,,https://tabelog.com/hyogo/A2803/A280301/28006709/,テイクアウト,スイーツ（その他）,,,3.08
28009449,西宮北口駅,319,五感 阪急百貨店西宮店,ケーキ、和菓子,兵庫県西宮市高松町14-1 西宮阪急 1F,0,1000,1999,-,-,,2008年10月,2008年10月,14,1,https://tabelog.com/hyogo/A2803/A280301/28009449/,テイクアウト,ケーキ,,,3.26
28040065,西宮北口駅,375,スープストックトーキョー 西宮ガーデンズ店,スープ、シチュー、スイーツ（その他）,兵庫県西宮市高松町14-2 西宮ガーデンズ内1F,53,1000,1999,-,999,999,2014年3月14日,2014年3月14日,8,8,https://tabelog.com/hyogo/A2803/A280301/28040065/,その他,スープ,シチュー,スイーツ（その他）,3.11
28039370,西宮北口駅,276,鮨割烹 汐,寿司,兵庫県西宮市長田町1-15-104,0,"5,000",5999,10000,14999,"12,500",,,,,https://tabelog.com/hyogo/A2803/A280301/28039370/,和食,寿司,,,3.54
28018601,西宮北口駅,148,たこ正 本店,たこ焼き、居酒屋,兵庫県西宮市甲風園1-6-9,10,-,-,-,999,999,,,,,https://tabelog.com/hyogo/A2803/A280301/28018601/,テイクアウト,たこ焼き,,,3.24
28045769,西宮北口駅,404,琉球食堂kafu,居酒屋、沖縄料理,兵庫県西宮市深津町3-25 深津橋本ビル 201,14,-,999,3000,3999,"3,500",2016年3月1日,2016年3月1日,6,8,https://tabelog.com/hyogo/A2803/A280301/28045769/,居酒屋・バル,居酒屋,,,3.24
28001749,西宮北口駅,160,そじ坊 アクタ西宮店,そば、居酒屋、丼もの（その他）,兵庫県西宮市北口町1-1 アクタ西宮西館 1F,0,"1,000",1999,1000,1999,"1,500",2001年4月20日,2001年4月20日,21,7,https://tabelog.com/hyogo/A2803/A280301/28001749/,和食,そば,居酒屋,丼もの（その他）,3.07
28055226,西宮北口駅,27,若菜そば 阪急西宮北口店,そば、うどん、丼もの（その他）,兵庫県西宮市高松町6-20 今津線宝塚行ホーム,36,-,999,-,999,999,2019年4月1日,2019年4月1日,3,7,https://tabelog.com/hyogo/A2803/A280301/28055226/,和食,そば,うどん,丼もの（その他）,3.16
28047985,西宮北口駅,381,博多もつ鍋 やまや 西宮ガーデンズ店,もつ鍋、居酒屋、定食・食堂,兵庫県西宮市高松町14-2 阪急西宮ガーデンズ 4F,80,"1,000",1999,3000,3999,"3,500",2016年11月29日,2016年11月29日,6,0,https://tabelog.com/hyogo/A2803/A280301/28047985/,居酒屋・バル,もつ鍋,居酒屋,定食・食堂,3.16
28053399,西宮北口駅,180,梅の花 西宮北口店,豆腐料理・湯葉料理、懐石・会席料理、しゃぶしゃぶ,兵庫県西宮市高松町5-22 阪急西宮ガーデンズ ゲート館 ,102,"2,000",2999,4000,4999,"4,500",2018年11月21日,2018年11月21日,4,0,https://tabelog.com/hyogo/A2803/A280301/28053399/,和食,豆腐料理・湯葉料理,懐石・会席料理,しゃぶしゃぶ,3.01
28009333,西宮北口駅,358,豆狸 西宮阪急店,デリカテッセン,兵庫県西宮市高松町14-1 西宮阪急 1F,0,-,999,-,999,999,,,,,https://tabelog.com/hyogo/A2803/A280301/28009333/,その他,デリカテッセン,,,3.04
28009293,西宮北口駅,413,ローゲンマイヤー 阪急西宮ガーデンズ店,パン、洋菓子（その他）,兵庫県西宮市高松町14-2 阪急西宮ガーデンズ 1F,0,1000,1999,-,999,999,,,,,https://tabelog.com/hyogo/A2803/A280301/28009293/,テイクアウト,パン,,,3.45
28047352,西宮北口駅,402,ひばり珈琲,喫茶店,兵庫県西宮市深津町3-27,13,-,999,1000,1999,"1,500",,,,,https://tabelog.com/hyogo/A2803/A280301/28047352/,その他,喫茶店,,,3.18
28048609,西宮北口駅,431,リンツ ショコラ ブティック＆カフェ 阪急西宮ガーデンズ店,カフェ、チョコレート、ケーキ,兵庫県西宮市高松町14-2 阪急西宮ガーデンズ 1F 南モ,0,-,999,-,-,,2017年3月25日,2017年3月25日,5,8,https://tabelog.com/hyogo/A2803/A280301/28048609/,その他,カフェ,チョコレート,ケーキ,3.03
28005511,西宮北口駅,200,ルーナプレヌ,イタリアン、フレンチ、パスタ,兵庫県西宮市南昭和町4-11,20,"1,000",1999,4000,4999,"4,500",,,,,https://tabelog.com/hyogo/A2803/A280301/28005511/,洋食,イタリアン,フレンチ,パスタ,3.44
28004719,西宮北口駅,105,常夜燈,居酒屋,兵庫県西宮市甲風園1-5-24 エスバイエル西宮ビルB1,40,-,-,3000,3999,"3,500",,,,,https://tabelog.com/hyogo/A2803/A280301/28004719/,居酒屋・バル,居酒屋,,,3.26
28049247,西宮北口駅,294,自家焙煎　珈琲屋　ドリーム,コーヒー専門店、喫茶店,兵庫県西宮市甲風園1-12-12 武田ビル,0,-,999,-,-,,,,,,https://tabelog.com/hyogo/A2803/A280301/28049247/,その他,コーヒー専門店,,,3.22
28008474,西宮北口駅,117,饂飩の四國 アクタ西宮店,うどん、居酒屋、親子丼,兵庫県西宮市北口町1-1-122 アクタ西宮西館 1F,68,"1,000",1999,1000,1999,"1,500",,,,,https://tabelog.com/hyogo/A2803/A280301/28008474/,和食,うどん,居酒屋,親子丼,3.36
28059104,西宮北口駅,129,大衆酒場 どんがめ 西宮北口店,居酒屋、魚介料理・海鮮料理、創作料理,兵庫県西宮市高松町11-10 シャトレ西宮 1F,100,-,999,1000,1999,"1,500",2020年12月1日,2020年12月1日,1,11,https://tabelog.com/hyogo/A2803/A280301/28059104/,居酒屋・バル,居酒屋,魚介料理・海鮮料理,創作料理,3.19
28035122,西宮北口駅,329,たねや 西宮阪急店,和菓子,兵庫県西宮市高松町14-1 西宮阪急 1F,,-,999,-,-,,,,,,https://tabelog.com/hyogo/A2803/A280301/28035122/,テイクアウト,和菓子,,,3.04
28026964,西宮北口駅,177,おととや　こばやし,魚介料理・海鮮料理、居酒屋,兵庫県西宮市甲風園1-7-9,0,-,-,3000,3999,"3,500",,,,,https://tabelog.com/hyogo/A2803/A280301/28026964/,和食,魚介料理・海鮮料理,,,3.39
28008950,西宮北口駅,121,餃子の王将 西宮北口店,中華料理、餃子、ラーメン,兵庫県西宮市甲風園1-5-18,31,-,999,-,999,999,,,,,https://tabelog.com/hyogo/A2803/A280301/28008950/,居酒屋・バル,中華料理,餃子,ラーメン,3.16
28057542,西宮北口駅,197,クレープ＆カフェ あまのじゃく,カフェ、クレープ,兵庫県西宮市北口町1-2 アクタ西宮東館 1F,9,-,999,-,999,999,,,,,https://tabelog.com/hyogo/A2803/A280301/28057542/,その他,カフェ,,,3.2
28021511,西宮北口駅,382,妻家房 西宮阪急店,韓国料理,兵庫県西宮市高松町14-1 西宮阪急 1F,20,"1,000",1999,1000,1999,"1,500",2008年11月26日,2008年11月26日,14,0,https://tabelog.com/hyogo/A2803/A280301/28021511/,多国籍料理,韓国料理,,,3.06
28022746,西宮北口駅,392,キムラフルーツ 西宮店,ジュースバー,兵庫県西宮市高松町14-1 西宮阪急 1F,0,-,999,-,-,,,,,,https://tabelog.com/hyogo/A2803/A280301/28022746/,その他,ジュースバー,,,3.06
28063131,西宮北口駅,363,CANTE GRANDE 西宮ガーデンズ,カレー（その他）、カフェ,兵庫県西宮市高松町14-2 阪急西宮ガーデンズ 本館 3F,0,"1,000",1999,1000,1999,"1,500",2022年3月22日,2022年3月22日,0,8,https://tabelog.com/hyogo/A2803/A280301/28063131/,多国籍料理,カレー（その他）,,,3.19
28048867,西宮北口駅,375,スンドゥブ専門店　OKKII 西宮ガーデンズ店,韓国鍋、韓国料理、冷麺,兵庫県西宮市高松町14-2 阪急西宮ガーデンズ 1F 東モ,700,"1,000",1999,1000,1999,"1,500",2017年4月25日,2017年4月25日,5,7,https://tabelog.com/hyogo/A2803/A280301/28048867/,多国籍料理,韓国鍋,韓国料理,冷麺,3.36
28017270,西宮北口駅,175,安芸,居酒屋,兵庫県西宮市南昭和町3-13,,-,-,3000,3999,"3,500",,,,,https://tabelog.com/hyogo/A2803/A280301/28017270/,居酒屋・バル,居酒屋,,,3.2
28055684,西宮北口駅,144,ラーメン えだ屋,ラーメン、中華料理、居酒屋,兵庫県西宮市甲風園1-4-16 カームプラザ北口ビル 2.,14,"1,000",1999,1000,1999,"1,500",2019年9月26日,2019年9月26日,3,2,https://tabelog.com/hyogo/A2803/A280301/28055684/,ラーメン,ラーメン,中華料理,居酒屋,3.35
28009376,西宮北口駅,382,丸福珈琲店 阪急西宮ガーデンズ店,喫茶店、パンケーキ,兵庫県西宮市高松町14-2 阪急西宮ガーデンズ 本館 1F,94,1000,1999,-,-,,2008年11月26日,2008年11月26日,14,0,https://tabelog.com/hyogo/A2803/A280301/28009376/,その他,喫茶店,,,3.17
28002321,西宮北口駅,160,番馬亭,うどん、そば、カレーうどん,兵庫県西宮市甲風園1-6-7,26,-,999,-,999,999,,,,,https://tabelog.com/hyogo/A2803/A280301/28002321/,和食,うどん,そば,カレーうどん,3.66
28025828,西宮北口駅,380,ピッコロ 西宮阪急店,カレーライス、オムライス,兵庫県西宮市高松町14-1 西宮阪急 1F,16,"1,000",1999,1000,1999,"1,500",2008年11月26日,2008年11月26日,14,0,https://tabelog.com/hyogo/A2803/A280301/28025828/,多国籍料理,カレーライス,,,3.08
28026907,西宮北口駅,353,エイチズクリーム 阪急西宮ガーデンズ店,アイスクリーム,兵庫県西宮市高松町14-2 阪急西宮ガーデンズ 1F,,-,999,-,999,999,,,,,https://tabelog.com/hyogo/A2803/A280301/28026907/,テイクアウト,アイスクリーム,,,3.27
28060043,西宮北口駅,328,清十郎 阪急西宮ガーデンズ店,お好み焼き、もんじゃ焼き,兵庫県西宮市高松町14-2 阪急西宮ガーデンズ本館 4F,0,"2,000",2999,1000,1999,"1,500",2021年4月5日,2021年4月5日,1,7,https://tabelog.com/hyogo/A2803/A280301/28060043/,居酒屋・バル,お好み焼き,,,3.25
28055899,西宮北口駅,413,自然薯とろろ丼専門店 黒十ヤ,丼もの（その他）、和食（その他）,兵庫県西宮市高松町14-2 阪急西宮ガーデンズ 1F 東モ,40,"1,000",1999,1000,1999,"1,500",2019年10月24日,2019年10月24日,3,1,https://tabelog.com/hyogo/A2803/A280301/28055899/,和食,丼もの（その他）,,,3.33
28002896,西宮北口駅,128,居酒屋 ふじや 本店,居酒屋、串焼き、釜飯,兵庫県西宮市甲風園1-4-10,280,-,999,2000,2999,"2,500",,,,,https://tabelog.com/hyogo/A2803/A280301/28002896/,居酒屋・バル,居酒屋,串焼き,釜飯,3.26
28042204,西宮北口駅,206,やまがき,デリカテッセン、弁当,兵庫県西宮市北口町1-2 アクタ西宮東館 1F,0,-,999,-,-,,,,,,https://tabelog.com/hyogo/A2803/A280301/28042204/,その他,デリカテッセン,,,3.35
28019224,西宮北口駅,156,ビーホット,カレーライス,兵庫県西宮市北口町1-1,0,-,999,-,999,999,,,,,https://tabelog.com/hyogo/A2803/A280301/28019224/,多国籍料理,カレーライス,,,3.37
28059898,西宮北口駅,407,こめらく 贅沢な､お茶漬け日和。 阪急西宮ガーデンズ店,和食（その他）,兵庫県西宮市高松町14-2 阪急西宮ガーデンズ 4F,36,"1,000",1999,1000,1999,"1,500",,,,,https://tabelog.com/hyogo/A2803/A280301/28059898/,和食,和食（その他）,,,3.24
28056705,西宮北口駅,149,らぁ麺 かりん 西宮北口店,ラーメン、油そば,兵庫県西宮市西宮北口町1-1 アクタ西宮西館 1F,10,-,999,-,999,999,2020年1月10日,2020年1月10日,2,10,https://tabelog.com/hyogo/A2803/A280301/28056705/,ラーメン,ラーメン,,,3.42
28008055,西宮北口駅,163,天然魚と七輪焼き 隠れ居酒屋 雑魚や,居酒屋、魚介料理・海鮮料理,兵庫県西宮市北口町1-1 アクタ西宮西館 1F,15,"1,000",1999,3000,3999,"3,500",,,,,https://tabelog.com/hyogo/A2803/A280301/28008055/,居酒屋・バル,居酒屋,,,3.42
28059177,西宮北口駅,392,カオマリ タイ,タイ料理,兵庫県西宮市高松町20-18,22,"1,000",1999,2000,2999,"2,500",2020年12月7日,2020年12月7日,1,11,https://tabelog.com/hyogo/A2803/A280301/28059177/,多国籍料理,タイ料理,,,3.16
28023461,西宮北口駅,160,珈琲館 アクタ西宮北口店,カフェ、喫茶店、洋菓子（その他）,兵庫県西宮市北口町1-1 アクタ西宮西館 2Ｆ W-213,48,-,999,-,-,,,,,,https://tabelog.com/hyogo/A2803/A280301/28023461/,その他,カフェ,喫茶店,洋菓子（その他）,3.05
28062993,西宮北口駅,440,チーズカレーお出汁うどん EN,カレーうどん、うどん,兵庫県西宮市高松町14-2 阪急西宮ガーデンズ 本館 1F,0,"1,000",1999,-,999,999,2022年3月8日,2022年3月8日,0,8,https://tabelog.com/hyogo/A2803/A280301/28062993/,和食,カレーうどん,,,3.19
28054810,西宮北口駅,150,珈琲 春秋 アクタ西宮ジュンク堂店,カフェ,兵庫県西宮市北口町1-1 アクタ西宮 西館 4F,0,-,999,-,-,,,,,,https://tabelog.com/hyogo/A2803/A280301/28054810/,その他,カフェ,,,3.04
28045342,西宮北口駅,200,なにわ丼丸 西宮北口店,海鮮丼、寿司、弁当,兵庫県西宮市甲風園1-7-1 カサマドンナ 1F,1,-,999,-,999,999,2016年1月23日,2016年1月23日,6,10,https://tabelog.com/hyogo/A2803/A280301/28045342/,和食,海鮮丼,寿司,弁当,3.01
28020486,西宮北口駅,377,浪花古市庵 西宮阪急店,寿司、弁当、郷土料理（その他）,兵庫県西宮市高松町14-1 西宮阪急 1F,,-,999,-,999,999,,,,,https://tabelog.com/hyogo/A2803/A280301/28020486/,和食,寿司,弁当,郷土料理（その他）,3.02
28009687,西宮北口駅,392,ねり伝 阪急西宮店,天ぷら・揚げ物（その他）、デリカテッセン、弁当,兵庫県西宮市高松町14-1 西宮阪急 1F,,1000,1999,-,-,,,,,,https://tabelog.com/hyogo/A2803/A280301/28009687/,和食,天ぷら・揚げ物（その他）,デリカテッセン,弁当,3.09
28023422,西宮北口駅,160,和食とうつわカフェ 豊島食堂,カフェ、和食（その他）,兵庫県西宮市北口町1-1-126 アクタ西宮西館1F,20,-,999,1000,1999,"1,500",2009年12月,2009年12月,12,11,https://tabelog.com/hyogo/A2803/A280301/28023422/,その他,カフェ,,,3.05
28008937,西宮北口駅,100,たてやま,居酒屋,兵庫県西宮市甲風園1-1-7 北口グロウスビルＢ１,,-,-,2000,2999,"2,500",,,,,https://tabelog.com/hyogo/A2803/A280301/28008937/,居酒屋・バル,居酒屋,,,3.1
28033958,西宮北口駅,278,アルデュール 阪急西宮店,洋菓子（その他）,兵庫県西宮市高松町14-1 西宮阪急 1F,0,"1,000",1999,1000,1999,"1,500",,,,,https://tabelog.com/hyogo/A2803/A280301/28033958/,テイクアウト,洋菓子（その他）,,,3.01
28040661,西宮北口駅,375,TOHOシネマズ 西宮OS,その他,兵庫県西宮市高松町14-2 阪急西宮ガーデンズ 5F,,-,999,-,999,999,,,,,https://tabelog.com/hyogo/A2803/A280301/28040661/,その他,その他,,,3.1
28013872,西宮北口駅,390,本家かまどや 西宮高松町店,弁当,兵庫県西宮市高松町1-11,,-,999,-,-,,,,,,https://tabelog.com/hyogo/A2803/A280301/28013872/,テイクアウト,弁当,,,3
28037368,西宮北口駅,327,六斎 西宮阪急,弁当,兵庫県西宮市高松町14-1,,1000,1999,-,-,,,,,,https://tabelog.com/hyogo/A2803/A280301/28037368/,テイクアウト,弁当,,,3.04
28045015,西宮北口駅,241,焼鳥かあちゃん,焼鳥、居酒屋、おでん,兵庫県西宮市高松町16-11,,-,-,3000,3999,"3,500",,,,,https://tabelog.com/hyogo/A2803/A280301/28045015/,居酒屋・バル,焼鳥,居酒屋,おでん,3.02
28034489,西宮北口駅,213,エール・エル 西宮阪急店,ケーキ,兵庫県西宮市高松町14-1 西宮阪急 1F,,-,-,-,999,999,,,,,https://tabelog.com/hyogo/A2803/A280301/28034489/,テイクアウト,ケーキ,,,3.01
28028539,西宮北口駅,188,バーディーペストリバー,バー,兵庫県西宮市甲風園1-7-6 パルシェビル　２F,16,-,-,1000,1999,"1,500",2008年8月20日,2008年8月20日,14,3,https://tabelog.com/hyogo/A2803/A280301/28028539/,その他,バー,,,-
28062429,西宮北口駅,149,ファミリーマート 甲風園一丁目店,その他,兵庫県西宮市甲風園1-5-7,0,-,-,-,-,,,,,,https://tabelog.com/hyogo/A2803/A280301/28062429/,その他,その他,,,-
28022281,西宮北口駅,392,虹の串,デリカテッセン、串揚げ・串かつ、創作料理,兵庫県西宮市高松町14-1 西宮阪急 1F,,-,-,-,999,999,,,,,https://tabelog.com/hyogo/A2803/A280301/28022281/,その他,デリカテッセン,串揚げ・串かつ,創作料理,3.09
28013133,西宮北口駅,153,八剣伝 西宮北口店,焼鳥,兵庫県西宮市甲風園1-6-10,46,-,-,3000,3999,"3,500",,,,,https://tabelog.com/hyogo/A2803/A280301/28013133/,居酒屋・バル,焼鳥,,,3.06
28058943,西宮北口駅,213,キッチンオリジン 西宮北口店,弁当,兵庫県西宮市甲風園1-8-13,,1000,1999,-,-,,2012年12月7日,2012年12月7日,9,11,https://tabelog.com/hyogo/A2803/A280301/28058943/,テイクアウト,弁当,,,3.01
28062995,西宮北口駅,433,全国ご当地グルメ屋台 阪急西宮ガーデンズ店,お好み焼き、焼きそば、豚丼,兵庫県西宮市高松町14-2 阪急西宮ガーデンズ 本館 1F,0,1000,1999,-,-,,2022年3月25日,2022年3月25日,0,8,https://tabelog.com/hyogo/A2803/A280301/28062995/,居酒屋・バル,お好み焼き,焼きそば,豚丼,3.11
28006633,西宮北口駅,198,Y's Bar,バー,兵庫県西宮市甲風園1-7-1 カサ・マドンナビル B1F,13,-,-,4000,4999,"4,500",,,,,https://tabelog.com/hyogo/A2803/A280301/28006633/,その他,バー,,,3.15
28064288,西宮北口駅,192,Mauliola,カフェ、ダイニングバー、バー,兵庫県西宮市甲風園1-7-6 パルシェビル 1F,18,1000,1999,-,-,,2022年7月25日,2022年7月25日,0,4,https://tabelog.com/hyogo/A2803/A280301/28064288/,その他,カフェ,ダイニングバー,バー,3.15
28053114,西宮北口駅,112,立ち飲み 輪飲酒家 annex,ワインバー,兵庫県西宮市高松町10-1 1F,,"2,000",2999,-,999,999,,,,,https://tabelog.com/hyogo/A2803/A280301/28053114/,その他,ワインバー,,,3.07
28010146,西宮北口駅,392,ナチュラルクラフティ 西宮阪急店,洋菓子（その他）,兵庫県西宮市高松町14-1 西宮阪急 1F,,-,999,-,999,999,,,,,https://tabelog.com/hyogo/A2803/A280301/28010146/,テイクアウト,洋菓子（その他）,,,3.11
28046748,西宮北口駅,327,つの田 西宮阪急店,デリカテッセン,兵庫県西宮市高松町14-1 西宮阪急 1F,,-,999,-,-,,,,,,https://tabelog.com/hyogo/A2803/A280301/28046748/,その他,デリカテッセン,,,3.01
28010181,西宮北口駅,392,京都･六角 蕪村菴 西宮阪急店,せんべい、和菓子,兵庫県西宮市高松町14-1 西宮阪急 1F,,-,999,-,-,,,,,,https://tabelog.com/hyogo/A2803/A280301/28010181/,その他,せんべい,,,3.01
28054161,西宮北口駅,375,バースデイ バー 阪急西宮ガーデンズ店,その他,兵庫県西宮市高松町14-2 阪急西宮ガーデンズ 1F,,-,-,-,-,,2019年3月8日,2019年3月8日,3,8,https://tabelog.com/hyogo/A2803/A280301/28054161/,その他,その他,,,-
28053628,西宮北口駅,375,ダダサラダ 西宮阪急店,デリカテッセン、パン・サンドイッチ（その他）、ジュースバー,兵庫県西宮市高松町14-2 西宮阪急 1F,,-,999,-,999,999,,,,,https://tabelog.com/hyogo/A2803/A280301/28053628/,その他,デリカテッセン,パン・サンドイッチ（その他）,ジュースバー,3.01
28035653,西宮北口駅,484,馳っく,居酒屋、豚しゃぶ、鳥料理,兵庫県西宮市平木町9-12,19,-,-,3000,3999,"3,500",2012年9月10日,2012年9月10日,10,2,https://tabelog.com/hyogo/A2803/A280301/28035653/,居酒屋・バル,居酒屋,豚しゃぶ,鳥料理,3.07
28055872,西宮北口駅,525,カラオケ喫茶・スナック ダンディ,カフェ・喫茶（その他）,兵庫県西宮市田代町2-12 MKビル 2F,,-,-,-,-,,,,,,https://tabelog.com/hyogo/A2803/A280301/28055872/,その他,カフェ・喫茶（その他）,,,-
28060485,西宮北口駅,140,らぁ麺 酒場 さつき,ラーメン、居酒屋,兵庫県西宮市甲風園1-4-16,,-,999,-,-,,,,,,https://tabelog.com/hyogo/A2803/A280301/28060485/,ラーメン,ラーメン,,,3.04
28047936,西宮北口駅,406,SAMBA,ブラジル料理、バー、居酒屋,兵庫県西宮市深津町3-25 深津橋本ビル 202,16,"1,000",1999,2000,2999,"2,500",2016年12月12日,2016年12月12日,5,11,https://tabelog.com/hyogo/A2803/A280301/28047936/,多国籍料理,ブラジル料理,バー,居酒屋,3.09
28047554,西宮北口駅,54,タリーズ コーヒー 阪急西宮北口店,カフェ,兵庫県西宮市高松町6-20 阪急西宮北口駅,32,-,999,-,999,999,2016年11月11日,2016年11月11日,6,0,https://tabelog.com/hyogo/A2803/A280301/28047554/,その他,カフェ,,,3.03
28014738,西宮北口駅,569,喫茶ヨネ,喫茶店,兵庫県西宮市田代町1-9,30,-,999,-,-,,,,,,https://tabelog.com/hyogo/A2803/A280301/28014738/,その他,喫茶店,,,3.16
28063302,西宮北口駅,222,うなぎ割烹 善,うなぎ,兵庫県西宮市高松町16-9 神田ビル 1F,,-,-,-,-,,,,,,https://tabelog.com/hyogo/A2803/A280301/28063302/,和食,うなぎ,,,-
28057906,西宮北口駅,125,YOGI,ジュースバー、カフェ・喫茶（その他）,兵庫県西宮市甲風園1-3-3,3,-,999,-,-,,2020年6月27日,2020年6月27日,2,5,https://tabelog.com/hyogo/A2803/A280301/28057906/,その他,ジュースバー,,,3.07
28058827,西宮北口駅,327,シーキューブ 西宮阪急店,ケーキ、洋菓子（その他）,兵庫県西宮市高松町14-1 西宮阪急店 1F,,-,-,-,-,,,,,,https://tabelog.com/hyogo/A2803/A280301/28058827/,テイクアウト,ケーキ,,,3
28063012,西宮北口駅,328,美菜莉 阪急西宮ガーデンズ店,韓国料理,兵庫県西宮市高松町14-2 阪急西宮ガーデンズ 南モール ,0,-,-,4000,4999,"4,500",2022年3月17日,2022年3月17日,0,8,https://tabelog.com/hyogo/A2803/A280301/28063012/,多国籍料理,韓国料理,,,3.05
28043564,西宮北口駅,109,赤から 西宮北口店,居酒屋、韓国鍋、鍋（その他）,兵庫県西宮市甲風園1-3-12 カミヤビル 2F,100,-,-,2000,2999,"2,500",2015年3月25日,2015年3月25日,7,8,https://tabelog.com/hyogo/A2803/A280301/28043564/,居酒屋・バル,居酒屋,韓国鍋,鍋（その他）,3.01
28064654,西宮北口駅,327,たごさく 阪急 西宮店,弁当,兵庫県西宮市高松町14-1 西宮阪急 1F,,-,-,-,-,,2022年9月1日,2022年9月1日,0,2,https://tabelog.com/hyogo/A2803/A280301/28064654/,テイクアウト,弁当,,,-
28059566,西宮北口駅,367,玉子料理の店 双樹 西宮阪急店,デリカテッセン、弁当、親子丼,兵庫県西宮市高松町14-1 西宮阪急 1F,,-,-,-,-,,,,,,https://tabelog.com/hyogo/A2803/A280301/28059566/,その他,デリカテッセン,弁当,親子丼,3
28045192,西宮北口駅,198,鉄板串焼・鉄板焼 Utataya,鉄板焼き,兵庫県西宮市南昭和町4-11 河合ビル 1F,30,-,-,3000,3999,"3,500",,,,,https://tabelog.com/hyogo/A2803/A280301/28045192/,居酒屋・バル,鉄板焼き,,,3.04
28028169,西宮北口駅,384,エーゲン,パン,兵庫県西宮市高松町20-19,,-,-,-,999,999,,,,,https://tabelog.com/hyogo/A2803/A280301/28028169/,テイクアウト,パン,,,3.02
28024431,西宮北口駅,722,くいもんやのー天喜,居酒屋,兵庫県西宮市森下町3,,-,-,-,-,,,,,,https://tabelog.com/hyogo/A2803/A280301/28024431/,居酒屋・バル,居酒屋,,,-
28030996,西宮北口駅,344,鶴屋八幡 西宮阪急店,和菓子,兵庫県西宮市高松町14-1 西宮阪急,,-,-,-,-,,,,,,https://tabelog.com/hyogo/A2803/A280301/28030996/,テイクアウト,和菓子,,,3
28022148,西宮北口駅,374,和惣菜　百椀 西宮阪急店,デリカテッセン、弁当、そば・うどん・麺類（その他）,兵庫県西宮市高松町14-1 西宮阪急 1F,,-,999,-,999,999,2008年11月,2008年11月,14,0,https://tabelog.com/hyogo/A2803/A280301/28022148/,その他,デリカテッセン,弁当,そば・うどん・麺類（その他）,3.03
28003862,西宮北口駅,425,やきとり おしどり,居酒屋、焼鳥,兵庫県西宮市深津町3-19,16,-,999,2000,2999,"2,500",,,,,https://tabelog.com/hyogo/A2803/A280301/28003862/,居酒屋・バル,居酒屋,,,3.04
28051730,西宮北口駅,404,バナナ,ジュースバー,兵庫県西宮市深津町3-25-103,,-,999,-,-,,2018年3月5日,2018年3月5日,4,8,https://tabelog.com/hyogo/A2803/A280301/28051730/,その他,ジュースバー,,,3.09
28060550,西宮北口駅,31,おにぎり家 一粒 阪急西宮北口駅店,おにぎり,兵庫県西宮市高松町6-20 阪急西宮北口駅 今津線宝塚行き,0,-,999,-,-,,,,,,https://tabelog.com/hyogo/A2803/A280301/28060550/,テイクアウト,おにぎり,,,3.01
28063289,西宮北口駅,210,ブルーシール 西宮北口店,アイスクリーム,兵庫県西宮市甲風園1-7-3,0,-,999,-,999,999,2022年4月8日,2022年4月8日,0,7,https://tabelog.com/hyogo/A2803/A280301/28063289/,テイクアウト,アイスクリーム,,,3.05
28033437,西宮北口駅,369,家で食べるスープストックトーキョー 西宮阪急店,スープ,兵庫県西宮市高松町14-1 西宮阪急 1F,,1000,1999,-,-,,2012年2月8日,2012年2月8日,10,9,https://tabelog.com/hyogo/A2803/A280301/28033437/,その他,スープ,,,3.01
28063195,西宮北口駅,327,淡路屋 西宮阪急店,弁当,兵庫県西宮市高松町14-1 西宮阪急 1F,0,-,-,-,-,,2022年3月24日,2022年3月24日,0,8,https://tabelog.com/hyogo/A2803/A280301/28063195/,テイクアウト,弁当,,,3
28050302,西宮北口駅,149,活魚酒場 ぜん,居酒屋,兵庫県西宮市甲風園1-6-9 スクエヤー甲風 B1F,18,-,-,3000,3999,"3,500",,,,,https://tabelog.com/hyogo/A2803/A280301/28050302/,居酒屋・バル,居酒屋,,,3.12
