Tid,起点,駅からの距離,店舗名,ジャンル,住所,座数,lunch_from,lunch_to,dinner_from,dinner_to,dinner_ave,元値,集計用,営業(年),営業(月),url,業態_集計用,食べログ業種_大,食べログ業種_中,食べログ業種_小,評価
28025880,西宮北口駅,3,阪急ベーカリー＆カフェ 西宮北口店,パン、カフェ・喫茶（その他）、サンドイッチ,兵庫県西宮市高松町6-20 西宮北口駅構内,0,-,999,-,-,,2010年5月1日,2010年5月1日,12,6,https://tabelog.com/hyogo/A2803/A280301/28025880/,テイクアウト,パン,カフェ・喫茶（その他）,サンドイッチ,3.27
28005127,西宮北口駅,143,おでん なか野,おでん、馬刺し,兵庫県西宮市甲風園1-4-16 カームプラザ北口　１Ｆ,12,-,-,3000,3999,"3,500",,,,,https://tabelog.com/hyogo/A2803/A280301/28005127/,和食,おでん,,,3.21
28053975,西宮北口駅,273,トゥーストゥース パティスリー＆カフェ 阪急西宮ガーデンズ店,喫茶店、ケーキ,兵庫県西宮市高松町14-2 阪急西宮ガーデンズ 2F,74,"1,000",1999,-,999,999,2019年2月1日,2019年2月1日,3,9,https://tabelog.com/hyogo/A2803/A280301/28053975/,その他,喫茶店,,,3.33
28055064,西宮北口駅,328,ワンダー フルーツ 阪急西宮ガーデンズ店,ジュースバー,兵庫県西宮市高松町14-2 阪急西宮ガーデンズ 西モール ,0,-,999,-,999,999,2019年6月28日,2019年6月28日,3,5,https://tabelog.com/hyogo/A2803/A280301/28055064/,その他,ジュースバー,,,3.2
28029339,西宮北口駅,226,モスバーガー 西宮北口店,ハンバーガー,兵庫県西宮市甲風園1-8-1,0,-,-,-,999,999,,,,,https://tabelog.com/hyogo/A2803/A280301/28029339/,洋食,ハンバーガー,,,3.03
28033992,西宮北口駅,161,西田酒類販売,立ち飲み居酒屋・バー,兵庫県西宮市北口町1-1-106 アクタ西宮西館 1F,3,"1,000",1999,1000,1999,"1,500",,,,,https://tabelog.com/hyogo/A2803/A280301/28033992/,居酒屋・バル,立ち飲み居酒屋・バー,,,3.27
28010117,西宮北口駅,298,ユーハイム 阪急西宮店,洋菓子（その他）,兵庫県西宮市高松町14-2 阪急西宮ガーデンズ,,-,999,-,999,999,,,,,https://tabelog.com/hyogo/A2803/A280301/28010117/,テイクアウト,洋菓子（その他）,,,3.02
28039322,西宮北口駅,142,つくねや 西宮北口店,焼鳥、炭火焼き、居酒屋,兵庫県西宮市甲風園1-4-16 カームプラザ北口 1F,13,"3,000",3999,2000,2999,"2,500",,,,,https://tabelog.com/hyogo/A2803/A280301/28039322/,居酒屋・バル,焼鳥,炭火焼き,居酒屋,3.13
28059734,西宮北口駅,328,Eggs'n Things Coffee 阪急西宮ガーデンズ店,カフェ,兵庫県西宮市高松町14-2 阪急西宮ガーデンズ 4F,50,"1,000",1999,2000,2999,"2,500",2021年3月6日,2021年3月6日,1,8,https://tabelog.com/hyogo/A2803/A280301/28059734/,その他,カフェ,,,3.05
28004084,西宮北口駅,619,たけふく,丼もの（その他）,兵庫県西宮市田代町1-49,40,-,999,-,-,,,,,,https://tabelog.com/hyogo/A2803/A280301/28004084/,和食,丼もの（その他）,,,3.49
